UE,NO_INV,NO_PECHE,NO_POSE,NO_SPEC,PANNEAU,ESPECE,LONG_T,MASSE_GR,SEXE,MAT_SEX,TYPE_STRUC,NB_STRUC,ECH_STRUC,AGE_1,INSECTES,BENTHOS,PLANCTON,CHYME,VIDE,POISS,NB_POI_EST,ESP_POIS1,ESP_POIS2,AUTRE_CONT,COMMENTAIR,STATUT_MAR,TYPE_MARQU,COULEUR,NO_ETIQUET,DESC_ETIQ,COM_MARQ,GENETIQUE,NO_ETI_GEN,CONTAMINAN,NO_ETI_CO,COM_TISSUS,IND_ACTION
07-00882-IPE,4,1,11,38,-,SANA,494,982,M,O,OT,2,38,,,,,,TRUE,,,,,,,,,,,,,TRUE,38,TRUE,38,,a
07-00882-IPE,4,1,13,39,-,SANA,557,1656,F,O,OT,2,39,,,,,,,TRUE,,,,,,,,,,,,TRUE,39,TRUE,39,,a
07-00882-IPE,4,1,13,40,-,SANA,258,117,M,N,OT,2,40,,,,TRUE,,,,,,,,,,,,,,,TRUE,40,FALSE,,,a
07-00882-IPE,4,1,13,41,-,SANA,388,457,M,N,OT,2,41,,,,TRUE,,,,,,,,,,,,,,,TRUE,41,FALSE,,,a
07-00882-IPE,4,1,13,42,-,SANA,314,216,F,N,OT,2,42,,,,TRUE,,,,,,,,,,,,,,,TRUE,42,FALSE,,,a
07-00882-IPE,4,1,13,43,-,SANA,285,166,M,N,OT,2,43,,,,TRUE,,,,,,,,,,,,,,,TRUE,43,FALSE,,,a
07-00882-IPE,4,1,13,44,-,SANA,354,307,F,N,OT,2,44,,,,TRUE,,,TRUE,,,,,,,,,,,,TRUE,44,FALSE,,,a
07-00882-IPE,4,1,13,45,-,SANA,331,267,M,N,OT,2,45,,,,,,TRUE,,,,,,,,,,,,,TRUE,45,FALSE,,,a
07-00882-IPE,4,1,13,46,-,SANA,480,1048,F,O,OT,2,46,,,,,,,TRUE,,,,,,,,,,,,TRUE,46,TRUE,46,,a
07-00882-IPE,4,1,13,47,-,SANA,416,633,M,O,OT,2,47,,,,TRUE,,,,,,,,,,,,,,,TRUE,47,TRUE,47,,a
07-00882-IPE,4,1,13,48,-,SANA,251,120,F,N,OT,2,48,,,,TRUE,,,,,,,,,,,,,,,TRUE,48,FALSE,,,a
07-00882-IPE,4,1,13,49,-,SANA,257,125,M,N,OT,2,49,,,,TRUE,,,,,,,,,,,,,,,TRUE,49,FALSE,,,a
07-00882-IPE,4,1,13,50,-,SANA,267,137,F,N,OT,2,50,,,,TRUE,,,,,,,,,,,,,,,TRUE,50,FALSE,,,a
07-00882-IPE,4,1,1,51,-,SANA,310,229,M,N,OT,2,51,,,,TRUE,,,,,,,,,,,,,,,TRUE,51,FALSE,,,a
07-00882-IPE,4,1,1,52,-,SANA,497,854,M,O,OT,2,52,,,TRUE,,,,,,,,,,,,,,,,TRUE,52,TRUE,52,,a
07-00882-IPE,4,1,3,53,-,SANA,388,499,M,O,OT,2,53,,,,TRUE,,,,,,,,,,,,,,,TRUE,53,TRUE,53,,a
07-00882-IPE,4,1,6,54,-,SANA,301,218,F,N,OT,2,54,,,,TRUE,,,,,,,,,,,,,,,TRUE,54,FALSE,,,a
07-00882-IPE,4,1,6,55,-,SANA,307,237,M,N,OT,2,55,,,,TRUE,,,,,,,,,,,,,,,TRUE,55,FALSE,,,a
07-00882-IPE,4,1,6,56,-,SANA,222,86,M,N,OT,2,56,,,,TRUE,,,,,,,,,,,,,,,TRUE,56,FALSE,,,a
07-00882-IPE,4,1,6,57,-,SANA,267,157,M,N,OT,2,57,,,,,,TRUE,,,,,,,,,,,,,TRUE,57,FALSE,,,a
07-00882-IPE,4,1,6,58,-,SANA,287,162,F,N,OT,2,58,,,,TRUE,,,,,,,,,,,,,,,TRUE,58,FALSE,,,a
07-00882-IPE,4,1,8,59,-,SANA,389,443,M,N,OT,2,59,,,TRUE,TRUE,,,TRUE,,,,,,,,,,,,TRUE,59,TRUE,59,,a
07-00882-IPE,4,1,8,60,-,SANA,260,140,F,N,OT,2,60,,,,TRUE,,,,,,,,,,,,,,,TRUE,60,FALSE,,,a
07-00882-IPE,4,1,8,61,-,SANA,208,70,M,N,OT,2,61,,,TRUE,TRUE,,,,,,,,,,,,,,,TRUE,61,FALSE,,,a
07-00882-IPE,4,1,8,62,-,SANA,270,156,F,N,OT,2,62,,,,TRUE,,,,,,,,,,,,,,,TRUE,62,FALSE,,,a
07-00882-IPE,4,1,8,63,-,SANA,261,132,M,N,OT,2,63,,,TRUE,TRUE,,,,,,,,,,,,,,,TRUE,63,FALSE,,,a
07-00882-IPE,4,1,5,64,-,SANA,534,1372,M,O,OT,2,64,,,,TRUE,,,,,,,,,,,,,,,TRUE,64,TRUE,64,,a
07-00882-IPE,4,1,5,65,-,SANA,322,249,F,N,OT,2,65,,,,,,TRUE,,,,,,,,,,,,,TRUE,65,FALSE,,,a
07-00882-IPE,4,1,5,66,-,SANA,197,59,F,N,OT,2,66,,,,,,TRUE,,,,,,,,,,,,,TRUE,66,FALSE,,,a
07-00882-IPE,4,1,5,67,-,SANA,344,288,F,N,OT,2,67,,,,TRUE,,,,,,,ECSP,,,,,,,,TRUE,67,FALSE,,,a
07-00882-IPE,4,1,5,68,-,SANA,189,53,F,N,OT,2,68,,,,TRUE,,,,,,,,,,,,,,,TRUE,68,FALSE,,,a
07-00882-IPE,4,1,5,69,-,SANA,212,69,M,N,OT,2,69,,,,,,TRUE,,,,,,,,,,,,,TRUE,69,FALSE,,,a
07-00882-IPE,4,1,5,70,-,SANA,274,158,M,N,OT,2,70,,,,TRUE,,,,,,,,,,,,,,,TRUE,70,FALSE,,,a
07-00882-IPE,4,1,5,71,-,SANA,248,139,F,N,OT,2,71,,,,,,TRUE,,,,,,,,,,,,,TRUE,71,FALSE,,,a
07-00882-IPE,4,1,5,72,-,SANA,255,121,M,N,OT,2,72,,,,TRUE,,,,,,,,,,,,,,,TRUE,72,FALSE,,,a
07-00882-IPE,4,1,5,73,-,SANA,240,100,F,N,OT,2,73,,,,,TRUE,,,,,,,,,,,,,,TRUE,73,FALSE,,,a
07-00882-IPE,4,1,4,74,-,SANA,284,179,F,N,OT,2,74,,,,TRUE,,,,,,,,,,,,,,,TRUE,74,FALSE,,,a
07-00882-IPE,4,1,4,75,-,SANA,292,193,M,N,OT,2,75,,,,TRUE,,,,,,,,,,,,,,,TRUE,75,FALSE,,,a
07-00882-IPE,4,1,4,76,-,SANA,301,199,F,N,OT,2,76,,,,TRUE,,,,,,,,,,,,,,,TRUE,76,FALSE,,,a
07-00882-IPE,4,1,4,77,-,SANA,295,222,M,N,OT,2,77,,,,TRUE,,,,,,,,,,,,,,,TRUE,77,FALSE,,,a
07-00882-IPE,4,1,4,78,-,SANA,300,225,M,N,OT,2,78,,,,TRUE,,,,,,,,,,,,,,,TRUE,78,FALSE,,,a
07-00882-IPE,4,1,4,79,-,SANA,297,187,F,N,OT,2,79,,,,TRUE,,,,,,,,,,,,,,,TRUE,79,FALSE,,,a
07-00882-IPE,4,1,4,80,-,SANA,303,210,F,N,OT,2,80,,,,TRUE,,,TRUE,2,,,,,,,,,,,TRUE,80,FALSE,,,a
07-00882-IPE,4,1,4,81,-,SANA,317,227,F,N,OT,2,81,,,,TRUE,,,TRUE,1,LESP,,,,,,,,,,TRUE,81,FALSE,,,a
07-00882-IPE,4,1,4,82,-,SANA,290,188,F,N,OT,2,82,,,,TRUE,,,,,,,,,,,,,,,TRUE,82,FALSE,,,a
07-00882-IPE,4,1,4,83,-,SANA,244,115,M,N,OT,2,83,,,,TRUE,,,,,,,,,,,,,,,TRUE,83,FALSE,,,a
