Name (caveats to the data),RTG $,Oil/Water Used,Type of Fish,Latin Name,Country Origin,Brand,Has Salt,Has Sugar,Sauce/Inclusions,Boneless,Skinless,Pieces/Tin,Tin Size (g),Tin Size (oz),Smoked,Grilled/Seared,Citrus,Garlic,Chili Pepper,Tomato,Dairy,Gluten,Organic,Kosher Cert,Servings/tin,Sodium/Serv (mg),% RDA Sodium,
"Ramón Peña Zamburiñas Guisadas (Small Scallops in Sauce), Silver Line",16,Olive Oil,Scallop,Aequipecten opercularis,Spain,Ramón Peña,Yes,No,"Tomato, Onion, Red Pepper",NA,NA,Unstated,110g,4 oz,No,No,No,No,No,Yes,No,No,No,None,2,180,7,
Real Conservera Selección 1920 Small Sardines (Sardinillas) in Olive Oil,11,Olive Oil,Sardines,Sardina pilchardus,Spain,Real Conservera,Yes,No,None,No,No,Unstated,112g,4oz,No,No,No,No,No,No,No,No,No,None,1,,,
Real Conservera Selección 1920 Sardines in Olive Oil,8.75,Olive OIl,Sardines,Sardina pilchardus,Spain,Real Conservera,Yes,No,None,No,No,Unstated,120g,4.2oz,No,No,No,No,No,No,No,No,No,None,1,,,
Real Conservera Selección 1920 Small Sardines (Sardinillas) in Olive Oil 12/16,16.5,Olive Oil,Sardines,Sardina pilchardus,Spain,Real Conservera,Yes,No,None,No,No,12/16,120g,4.2oz,No,No,No,No,No,No,No,No,No,None,1,,,
Real Conservera Selección 1920 Cockles in Brine 30/40,27.5,Brine,Cockles,Cerastoderma edule,Spain,Real Conservera,Yes,No,"Lemon, bay, onion",NA,NA,30/40,111g,3.9oz,No,No,No,No,No,No,No,No,No,None,1,,,
Real Conservera Selección 1920 Cockles in Brine 40/50,21.5,Brine,Cockles,Cerastoderma edule,Spain,Real Conservera,Yes,No,"Lemon, bay, onion",NA,NA,40/50,111g,3.9oz,No,No,No,No,No,No,No,No,No,None,1,,,
Real Conservera Selección 1920 Clams in Brine,15.5,Brine,Clams,,Spain,Real Conservera,Yes,No,"Lemon, bay, onion",NA,NA,Unstated,115g,4.06oz,No,No,No,No,No,No,No,No,No,None,1,,,
Real Conservera Selección 1920 Mussels in Escabeche 12/16,13,Escabeche,Mussels,Mytillus galloprovincialis,Spain,Real Conservera,Yes,No,Escabeche,NA,NA,12/16,115g,4.06oz,No,No,No,Yes,No,No,No,No,No,None,1,,,
Real Conservera Selección 1920 Atún Claro (Yellowfin tuna) in Olive Oil,10,Olive Oil,"Tuna, Yellowfin",Thunnus albacares,Spain,Real Conservera,Yes,No,None,Yes,Yes,Unstated,110g,4oz,No,No,No,No,No,No,No,No,No,None,1,,,
Real Conservera Selección 1920 Ventresca de Atún Claro (Yellowfin Belly) in Olive Oil,15,Olive Oil,"Tuna, Yellowfin",Thunnus albacares,Spain,Real Conservera,Yes,No,None,Yes,Yes,Unstated,115g,4.06oz,No,No,No,No,No,No,No,No,No,None,1,,,
