Name (caveats to the data),RTG $,Oil/Water Used,Type of Fish,Latin Name,Country Origin,Brand,Has Salt,Has Sugar,Sauce/Inclusions,Boneless,Skinless,Pieces/Tin,Tin Size (g),Tin Size (oz),Smoked,Grilled/Seared,Citrus,Garlic,Chili Pepper,Tomato,Dairy,Gluten,Organic,Kosher Cert,Servings/tin,Sodium/Serv (mg),% RDA Sodium,
Wildfish Cannery Classic Coho Salmon,13,None,"Salmon, Coho",Oncorhynchus kisutch,USA,Wildfish Cannery,Yes,Yes,None,Yes,No,Unstated,170g,6 oz,No,No,No,Yes,No,No,No,No,No,None,3,310,13,
Wildfish Cannery Smoked Coho Salmon,15.5,None,"Salmon, Coho",Oncorhynchus kisutch,USA,Wildfish Cannery,Yes,Yes,None,Yes,No,NA,170g,6 oz,Yes,No,No,No,No,No,No,No,No,None,3,350,14,
Wildfish Cannery Smoked Geoduck,31.5,None,"Clam, Geoduck",Panopea generosa,USA,Wildfish Cannery,Yes,No,None,NA,NA,Unstated,170g,6 oz,Yes,No,No,No,No,No,No,No,No,None,3,350,15,
Wildfish Cannery Smoked Herring,12,None,Herring,Clupea pallasii,USA,Wildfish Cannery,Yes,Yes,None,No,No,Unstated,170g,6 oz,Yes,No,No,No,No,No,No,No,No,None,3.5,189,8,
Wildfish Cannery Smoked King Salmon,19.5,None,"Salmon, King",Oncorhynchus tshawytscha,USA,Wildfish Cannery,Yes,Yes,None,Yes,No,NA,170g,6 oz,Yes,No,No,No,No,No,No,No,No,None,3,360,15,
Wildfish Cannery Smoked Octopus,25,None,Octopus,Enteroctopus dofleini,USA,Wildfish Cannery,Yes,Yes,None,NA,NA,Unstated,170g,6 oz,Yes,No,No,No,No,No,No,No,No,None,3,160,7,
Wildfish Cannery Smoked Pink Salmon,12,None,"Salmon, Pink",Oncorhynchus gorbuscha,USA,Wildfish Cannery,Yes,Yes,None,Yes,No,NA,170g,6 oz,Yes,No,No,No,No,No,No,No,No,None,3,350,14,
Wildfish Cannery Smoked Sockeye Salmon,19,None,"Salmon, Sockeye",Oncorhynchus nerka,USA,Wildfish Cannery,Yes,Yes,None,Yes,No,NA,170g,6 oz,Yes,No,No,No,No,No,No,No,No,None,3,200,8,
Wildfish Cannery Smoked White King Salmon,21.5,None,"Salmon, King",Oncorhynchus tshawytscha,USA,Wildfish Cannery,Yes,Yes,None,Yes,No,NA,170g,6 oz,Yes,No,No,No,No,No,No,No,No,None,3,360,15,
"Yurrita Bonito del Norte in Olive Oil, 1850g, Large Format",105,Olive Oil,"Tuna, Albacore (Bonito del Norte)",Thunnus alalunga,Spain,Yurrita,Yes,No,None,NA,NA,NA,1850g,64 oz,No,No,No,No,No,No,No,No,No,None,39,144,6,
Yurrita Cantabrian Anchovy Fillets in Olive Oil,12,Olive OIl,Anchovy,Engraulis encrasicolus,Spain,Yurrita,Yes,No,None,Yes,Yes,Unstated,50g,1.76 oz,No,No,No,No,No,No,No,No,No,OU,2,900,38,
Yurrita Cockles in Brine 25/35,26,Water,Cockles,Cerastoderma edule,Spain,Yurrita,Yes,No,None,NA,NA,25/35,111g,3.9 oz,No,No,No,No,No,No,No,No,No,None,1,380,17,
Yurrita Marinated Anchovy Fillets (Boquerones) in Wine Vinegar and Extra Virgin Olive Oil,12,Extra Virgin Olive Oil,Anchovy,Engraulis encrasicolus,Spain,Yurrita,Yes,No,Wine Vinegar,Yes,Yes,Unstated,50g,1.76 oz,No,No,No,No,No,No,No,No,No,None,2,38,2,
Yurrita Mussels in Pickled Sauce (Mejillones en Escabeche) 8/12,13.5,Sunflower Oil,Mussels,Mytilus galloprovincialis,Spain,Yurrita,Yes,No,Escabeche,NA,NA,8/12,111g,3.9 oz,No,No,No,No,No,No,No,No,No,None,2,272,6,
Yurrita Sardines in Olive Oil,8.5,Olive OIl,Sardines,Sardina pilchardus,Spain,Yurrita,Yes,No,None,No,No,Unstated,120g,4.2 oz,No,No,No,No,No,No,No,No,No,None,2,211,9,
Yurrita Sardinillas (Small Sardines) in Olive Oil 10/14,10.5,Olive Oil,Sardines,Sardina pilchardus,Spain,Yurrita,Yes,No,None,No,No,10/14,115g,4 oz,No,No,No,No,No,No,No,No,No,None,2,146,6,
Yurrita Squid in Ink Sauce,15,Sunflower Oil,Squid,Loligo gahi,Spain,Yurrita,Yes,No,Ink,NA,NA,Unstated,111g,3.9 oz,No,No,No,No,No,No,No,No,No,None,2,158,7,
Yurrita Ventresca of White Tuna,21,Olive Oil,"Tuna, Albacore (Bonito del Norte)",Thunnus alalunga,Spain,Yurrita,Yes,No,None,NA,NA,Unstated,111g,3.9 oz,No,No,No,No,No,No,No,No,No,None,1,144,6,
"Yurrita White Tuna in Olive Oil, Glass Jar",16.5,Olive Oil,"Tuna, Albacore (Bonito del Norte)",Thunnus alalunga,Spain,Yurrita,Yes,No,None,NA,NA,Unstated,190g,6.7 oz,No,No,No,No,No,No,No,No,No,None,4,128,5,
Yurrita White Tuna in Olive Oil,10,Olive Oil,"Tuna, Albacore (Bonito del Norte)",Thunnus alalunga,Spain,Yurrita,Yes,No,None,NA,NA,Unstated,111g,3.9oz,No,No,No,No,No,No,No,No,No,None,4,144,6,
"Yurrita White Tuna in Olive Oil with Piquillo Peppers, Glass Jar",18,Olive Oil,"Tuna, Albacore (Bonito del Norte)",Thunnus alalunga,Spain,Yurrita,Yes,No,Piquillo Peppers,NA,NA,NA,225g,7.93 oz,No,No,No,No,No,No,No,No,No,None,4,144,6,
Yurrita Ventresca of Yellowfin Tuna,17,Olive Oil,"Tuna, Yellowfin",Thunnus alalnga,Spain,Yurrita,Yes,No,None,NA,NA,NA,111g,3.9oz,No,No,No,No,No,No,No,No,No,None,4,187,8,
Yurrita Squid in Olive Oil,18,Olive Oil,Squid,Loligo gahi,Spain,Yurrita,Yes,No,None,NA,NA,NA,111g,3.9oz,No,No,No,No,No,No,No,No,No,None,2,173,7,
Zallo Bonito del Norte (White Tuna) in Escabeche,16,Olive Oil,"Tuna, Albacore (Bonito del Norte)",Thunnus alalunga,Spain,Zallo,Yes,No,Escabeche,NA,NA,NA,112g,4 oz,No,No,No,No,No,No,No,No,No,None,1,200,8,
Zallo Bonito del Norte (White Tuna) in Olive Oil,16,Olive Oil,"Tuna, Albacore (Bonito del Norte)",Thunnus alalunga,Spain,Zallo,Yes,No,None,NA,NA,NA,112g,4 oz,No,No,No,No,No,No,No,No,No,None,1,440,19,
"Zallo Bonito del Norte (White Tuna) in Olive Oil, glass jar",21,Olive Oil,"Tuna, Albacore (Bonito del Norte)",Thunnus alalunga,Spain,Zallo,Yes,No,None,NA,NA,NA,220g,7.8 oz,No,No,No,No,No,No,No,No,No,None,2.5,220,9,
Zallo Ventresca Bonito del Norte (White Tuna Belly) in Olive Oil,29.5,Olive Oil,"Tuna, Albacore (Bonito del Norte)",Thunnus alalunga,Spain,Zallo,Yes,No,None,NA,NA,NA,112g,4 oz,No,No,No,No,No,No,No,No,No,None,1.5,220,9,
Zallo Yellowfin (Atun Claro) Ventresca in Olive Oil,24.5,Olive Oil,"Tuna, Yellowfin",Thunnus albacares,Spain,Zallo,Yes,No,None,NA,NA,NA,112g,4 oz,No,No,No,No,No,No,No,No,No,None,1,360,16,
