date ,site,gear,wind,surface_temp,crew,start_time,end_time,lat_start,long_start,lat_end,long_end,start_depth,end_depth,basin,species,tag_no,tl_mm,fl_mm,girth_mm,wt_g,fin_scales_muscle,sex,stomach,vtag,maxillary,age_est,comments
9/8/2020,F-13,,,,,,,45.77083,-74.73873,,,,,East Basin,lt,47,416,390,196,633,yes,m,yes,,yes,13,
9/8/2020,F-13,,,,,,,45.77083,-74.73873,,,,,East Basin,lt,48,251,235,108,120,yes,f,yes,,yes,4,
9/8/2020,F-13,,,,,,,45.77083,-74.73873,,,,,East Basin,lt,49,257,237,104,125,yes,m,yes,,yes,4,
9/8/2020,F-13,,,,,,,45.77083,-74.73873,,,,,East Basin,lt,50,267,253,110,137,yes,f,yes,,yes,5,
9/9/2020,F-1,,,,,,,45.85693,-74.77387,,,,,North Basin,lt,51,310,293,135,229,yes,m,yes,,yes,4,
9/9/2020,F-1,,,,,,,45.85693,-74.77387,,,,,North Basin,lt,52,497,464,199,854,yes,m,yes,,yes,15,
9/9/2020,F-3,,,,,,,45.84102,-74.76925,,,,,North Basin,lt,53,388,350,180,479,yes,m,yes,,yes,4,
9/9/2020,F-6,,,,,,,45.81871,-74.7691,,,,,East Basin,lt,54,301,273,130,218,yes,f,yes,,yes,6,
9/9/2020,F-6,,,,,,,45.81871,-74.7691,,,,,East Basin,lt,55,307,280,142,237,yes,m,yes,,yes,7,
9/9/2020,F-6,,,,,,,45.81871,-74.7691,,,,,East Basin,lt,56,222,205,101,86,yes,m,yes,,yes,4,
9/9/2020,F-6,,,,,,,45.81871,-74.7691,,,,,East Basin,lt,57,267,243,132,157,yes,m,no,,yes,6,stomach was empty
9/9/2020,F-6,,,,,,,45.81871,-74.7691,,,,,East Basin,lt,58,287,263,119,126,yes,f,yes,,yes,7,
9/9/2020,F-8,,,,,,,45.81575,-74.75629,,,,,East Basin,lt,59,389,355,185,443,yes,m,yes,,yes,9,
9/9/2020,F-8,,,,,,,45.81575,-74.75629,,,,,East Basin,lt,60,260,237,119,140,yes,f,yes,,yes,5,
9/9/2020,F-8,,,,,,,45.81575,-74.75629,,,,,East Basin,lt,61,208,195,97,70,yes,m,yes,,yes,3,
9/9/2020,F-8,,,,,,,45.81575,-74.75629,,,,,East Basin,lt,62,270,252,118,156,yes,f,yes,,yes,6,
9/9/2020,F-8,,,,,,,45.81575,-74.75629,,,,,East Basin,lt,63,261,243,112,132,yes,m,yes,,yes,5,
9/9/2020,F-5,,,,,,,45.82138,-74.7696,,,,,East Basin,lt,64,534,480,257,1372,yes,m,yes,,yes,12,
9/9/2020,F-5,,,,,,,45.82138,-74.7696,,,,,East Basin,lt,65,322,302,162,249,yes,f,no,,yes,5,stomach was empty
9/9/2020,F-5,,,,,,,45.82138,-74.7696,,,,,East Basin,lt,66,197,185,88,59,yes,f,no,,yes,3,stomach was empty
9/9/2020,F-5,,,,,,,45.82138,-74.7696,,,,,East Basin,lt,67,344,317,144,288,yes,f,yes,,yes,7,
9/9/2020,F-5,,,,,,,45.82138,-74.7696,,,,,East Basin,lt,68,189,175,93,53,yes,f,yes,,yes,3,
9/9/2020,F-5,,,,,,,45.82138,-74.7696,,,,,East Basin,lt,69,212,190,90,69,yes,m,no ,,yes,4,stomach was empty
9/9/2020,F-5,,,,,,,45.82138,-74.7696,,,,,East Basin,lt,70,274,247,124,158,yes,m,yes,,yes,5,
