date ,gear,crew ,temp_c,set_number,start_time ,end_time ,start_depth_ft,end_depth_ft,lat_start ,long_start,lat_end,long_end,basin,species,tag_id,tl_mm,fl_mm,girth_mm,wt_g,fin,maxillary,stomach,sex,killed,age_est,comments,Code ,Colour 
3-May-21,gn,"Connor Reeve, Ben Hlina, Domenic Carmaniso",7,3,15:10,15:58,40,60,45.81609,-74.78980,45.81612,-74.77964,West Basin,lt,5,496,457,230,1042,yes,yes,yes,f,x,,dead,,
4-May-21,gn,"Domenic Carmaniso, Jordie Bergman, Matt Spetka, Ben Hlina",7,7,11:30,12:26,,,45.82953,-74.77409,,,West Basin,lt,07066,506,456,245,1160,yes,yes,yes,,,,,,
13-May-21,gn,"Domenic Carmaniso, Jordie Bergman, Matt Spetka, Ben Hlina",9.5,44,12:14,14:20,33,33,45.83022,-74.77459,45.82960,-74.77438,West Basin,lt,07146,506,469,208,946,yes,yes,yes,,,,,,
12-May-21,gn,"Domenic Carmaniso, Jordie Bergman, Matt Spetka, Ben Hlina",8.5,38,11:14,13:25,53,84,45.8365,-74.77781,45.83612,-74.77733,West Basin,lt,07078,511,471,227,900,yes,yes,yes,,,,,,
11-May-21,gn,"Domenic Carmaniso, Jordie Bergman, Matt Spetka, Ben Hlina",8.5,31,08:17,10:40,57,40,45.81613,-74.77947,45.81602,-74.77863,West Basin,lt,07090,512,467,215,925,yes,yes,yes,,,,,,
3-May-21,gn,"Connor Reeve, Ben Hlina, Domenic Carmaniso",7,3,15:10,15:58,40,60,45.81609,-74.78980,45.81612,-74.77964,West Basin,lt,07075,517,467,220,1150,yes,yes,yes,,,,,,
6-May-21,gn,"Domenic Carmaniso, Matt Spetka, Ben Hlina",8,22,13:05,15:25,30,83,45.83670,-74.77802,45.83612,-74.77733,West Basin,lt,12406,546,492,230,1170,yes,yes,yes,,,,,,
11-May-21,gn,"Domenic Carmaniso, Jordie Bergman, Matt Spetka, Ben Hlina",8.5,30,08:05,10:05,81,53,45.81755,-74.81433,45.81765,-74.78350,West Basin,lt,07093,560,514,275,1470,yes,yes,yes,,,,,,
11-May-21,gn,"Domenic Carmaniso, Jordie Bergman, Matt Spetka, Ben Hlina",8.5,30,08:05,10:05,81,53,45.81755,-74.81433,45.81765,-74.78350,West Basin,lt,07096,572,422,206,775,yes,yes,yes,,,,,,
11-May-21,gn,"Domenic Carmaniso, Jordie Bergman, Matt Spetka, Ben Hlina",8.5,29,07:58,09:20,86,84,45.81649,-74.78324,45.81680,,West Basin,lt,07097,589,536,292,1640,yes,yes,yes,,,,,,
11-May-21,gn,"Domenic Carmaniso, Jordie Bergman, Matt Spetka, Ben Hlina",8.5,32,08:25,10:48,30,35,45.81042,-74.79039,45.81053,-74.78957,West Basin,lt,07089,634,560,293,2000,yes,yes,yes,,,,juvinile laker puked up,,
11-May-21,gn,"Domenic Carmaniso, Jordie Bergman, Matt Spetka, Ben Hlina",8.5,29,07:58,09:20,86,84,45.81649,-74.78324,45.81680,,West Basin,lt,07098,765,715,425,4000,yes,yes,yes,,,,right maxillary damaged from old hooking wound. Removed the rest of max for aging. May be questionable. Didn't want to remove the left maxillary to inhibit feeding,,
6-May-21,gn,"Domenic Carmaniso, Matt Spetka, Ben Hlina",8,18,08:34,11:07,68,70,45.58740,-74.77422,45.56680,-74.77491,,lt,05584,355,323,150,340,yes,yes,yes,,,,,,
4-May-21,gn,"Domenic Carmaniso, Jordie Bergman, Matt Spetka, Ben Hlina",7,10,,,,,,,,,,lt,07052,420,387,185,,yes,yes,yes,,,,weight not taken,,
4-May-21,gn,"Domenic Carmaniso, Jordie Bergman, Matt Spetka, Ben Hlina",7,10,,,,,,,,,,lt,07053,463,418,185,680,yes,yes,yes,,,,,,
6-May-21,gn,"Domenic Carmaniso, Matt Spetka, Ben Hlina",8,18,08:34,11:07,68,70,45.58740,-74.77422,45.56680,-74.77491,,lt,05583,475,435,190,750,yes,yes,yes,,,,,,
4-May-21,gn,"Domenic Carmaniso, Jordie Bergman, Matt Spetka, Ben Hlina",7,8,,,,,,,,,,lt,07064,490,440,205,760,yes,yes,yes,,,,,,
4-May-21,gn,"Domenic Carmaniso, Jordie Bergman, Matt Spetka, Ben Hlina",7,8,,,,,,,,,,lt,07063,492,446,220,,yes,yes,yes,,,,,,
13-May-21,gn,"Domenic Carmaniso, Jordie Bergman, Matt Spetka, Ben Hlina",9.5,42,,,,,,,,,,lt,07148,500,450,206,925,yes,yes,yes,,,,caught on a fly by dominic,,
4-May-21,gn,"Domenic Carmaniso, Jordie Bergman, Matt Spetka, Ben Hlina",7,8,,,,,,,,,,lt,07051,502,453,200,900,yes,yes,yes,,,,,,
4-May-21,gn,"Domenic Carmaniso, Jordie Bergman, Matt Spetka, Ben Hlina",7,8,,,,,,,,,,lt,07065,506,460,207,1000,yes,yes,yes,,,,,,
4-May-21,gn,"Domenic Carmaniso, Jordie Bergman, Matt Spetka, Ben Hlina",7,9,,,,,,,,,,ws,,,,,,,,,,,,,,
4-May-21,gn,"Domenic Carmaniso, Jordie Bergman, Matt Spetka, Ben Hlina",7,9,,,,,,,,,,ws,,,,,,,,,,,,,,
7-May-21,gn,"Domenic Carmaniso, Jordie Bergman, Matt Spetka, Ben Hlina",7,26,11:40,13:00,39,60,45.80535,-74.75584,45.80595,-74.75613,,smb,,,,,,,,,,,,,,
